number,step,energy,sg_number,wp_number,time
1,75,-1.1365268,14,73746.67923191177,4.5955259799957275
2,77,-1.4960092,91,38254.47597121401,7.021967172622681
3,84,-0.5739186,82,20472.937740077403,9.906946659088135
4,93,-0.35611016,129,128228.94546281736,10.512106895446777
5,124,-0.8305427,34,75004.98711082363,11.669456243515015
6,128,-0.97650737,127,70969.94292250118,11.838732719421387
7,188,-1.0482044,57,83094.03858239965,13.888706684112549
8,206,-1.6223835,91,82479.42164599507,14.87314248085022
9,210,-1.19832,91,109362.98869935828,15.282516956329346
10,211,-1.5199149,91,111520.23157450788,15.433374166488647
11,212,-1.1580782,91,108719.87549657334,15.576836585998535
12,225,-0.4796254,105,96635.69409542897,16.725970029830933
13,230,-0.44834465,134,126174.54456827608,17.160226821899414
14,234,-0.9071399,5,115234.61799391349,17.661797046661377
15,246,-1.0862303,182,106923.81064707738,18.928468942642212
16,249,-1.955945,121,109416.75014527411,19.332295656204224
17,251,-1.0469028,121,63420.0253833037,19.63560938835144
18,254,-0.57850146,138,119851.25696397066,19.974674224853516
19,258,-1.1260573,126,109744.03020476573,20.359149932861328
20,259,-2.1213863,216,100435.89247855093,20.70822763442993
21,263,-0.4267384,76,99058.8018069816,21.19390034675598
22,268,-0.17970368,87,94903.23061422267,21.666956663131714
23,270,-1.1123604,97,107147.02179332414,21.90668296813965
24,286,-1.3635687,202,88977.18508733119,23.314568281173706
25,297,-1.022689,128,64895.67317040785,24.29458999633789
26,305,-0.78131175,213,127918.84912626569,25.110607147216797
27,312,-1.744643,141,77439.22645278109,25.724908113479614
28,314,-1.320292,141,72802.20659929031,25.957744359970093
29,331,-1.2303475,200,104833.14644639041,27.547518730163574
30,335,-1.4454128,141,75888.41589286418,28.03184747695923
31,342,-1.175839,201,121382.68936005881,29.051469326019287
32,360,-1.1129277,121,72606.58875308916,31.08082103729248
33,361,-1.0855957,133,124314.63505809841,31.28484058380127
34,366,-1.5214257,195,94332.30356170537,31.89324164390564
35,386,-1.5687853,212,85359.44382902244,34.20512652397156
36,388,-0.41134843,40,55662.44348855054,34.455862045288086
37,396,-1.2841457,212,50092.62447216743,35.384968996047974
38,402,-1.6867244,98,95386.92318691846,36.175456047058105
