number,step,energy,sg_number,wp_number,time
1,75,-1.2905086,14,73746.67923191177,4.679286956787109
2,77,-1.5783355,91,38254.47597121401,7.093971014022827
3,84,-1.0084069,82,20472.937740077403,10.049540758132935
4,93,-0.32194605,129,128228.94546281736,10.48790979385376
5,124,-0.65964496,34,75004.98711082363,11.487915992736816
6,128,-1.3354325,127,70969.94292250118,11.643930673599243
7,188,-1.2736079,57,83094.03858239965,13.750003576278687
8,206,-1.6426234,91,82479.42164599507,14.74067211151123
9,207,-0.2899472,62,109950.50936200787,14.90668797492981
10,208,-1.701513,91,37814.924263246554,15.043283462524414
11,211,-1.5773314,91,37767.97455951162,15.427382469177246
12,212,-1.4722311,91,26995.152150648202,15.591521739959717
13,226,-0.7776361,104,57273.78548712691,16.821858167648315
14,257,-0.52061397,76,69984.31696824788,19.423784017562866
15,259,-2.1236274,207,26968.440776590032,19.87307095527649
16,264,-0.07226726,67,15875.173410741038,20.361761808395386
17,276,-1.5668601,213,88248.71351292594,21.463090419769287
18,295,-0.025575414,192,73353.03534198077,23.557600021362305
19,307,-1.4051968,200,31472.2499933408,24.728577375411987
20,309,-0.5505544,106,60234.51178246946,24.976184368133545
21,311,-1.5277629,121,75293.31804635681,25.21647548675537
22,318,-1.2109152,91,57996.6777143965,25.867974758148193
23,342,-1.8219048,201,28204.898438924774,28.30827236175537
24,347,-2.01991,224,112397.23558845611,28.746893167495728
25,348,-1.4725645,207,102044.81291831638,28.889387130737305
26,349,-0.5520647,7,132983.4550223083,29.03990912437439
27,350,-1.8911247,224,125912.08038632903,29.19067072868347
28,379,-0.63672704,88,158.1250811213322,32.14409399032593
29,396,-0.9294958,225,8196.81928460599,34.05269980430603
30,397,-1.2760514,164,139347.3961325454,34.227399826049805
31,408,-1.1991426,198,87900.19736171803,35.533066272735596
32,410,-1.4362969,84,95225.43448765409,35.82406210899353
33,412,-1.9819196,201,111009.88160767252,36.1599383354187
34,418,-2.1536334,201,98576.36481549132,36.802311420440674
35,419,-1.7420737,201,104090.39420070576,37.00851130485535
36,420,-2.0378568,201,107726.24412052611,37.454580783843994
37,436,-1.5156581,224,111552.95711468719,39.270580530166626
38,440,-0.08064253,20,98949.96618904377,40.00263023376465
39,442,-0.2167727,134,92192.63184884496,40.28988981246948
40,466,-0.022620186,97,100471.81005265033,43.00876426696777
41,479,-1.2445849,208,96832.13770999722,44.37420582771301
42,480,-0.779948,131,111515.70682813307,44.54390335083008
43,508,-0.19290492,120,116976.2638880108,47.67376208305359
